name,category,address,lat,lng,phone,opening_hours
Deshmukh Eye Hospital Retina Care Centre,hospital,"Khaperde Gardens, Near Irwin square, Netradan Road",20.9323529,77.7615291,,
Parashree Speciality Hospital,hospital,Amravati,20.9322095,77.761391,,
Kale Nursing Home,hospital,Amravati,20.9311723,77.7618925,,
Yadgire Superspecialty Hospital,hospital,Vijay Colony Congress Nagar Road,20.9272273,77.7673051,,
Borade Hospital,hospital,Amravati,20.9317048,77.7839983,,
PATANJALI CHIKITSALAYA,hospital,Amravati,20.9459795,77.7659139,,
Geetai Nursing Home,hospital,Amravati,20.9296264,77.7617501,,
Mahaveer Hospital and Medical Research Centre,hospital,Shri Krishna Peth,20.935486,77.7592797,,
Dr. Belsare Hospital,hospital,Amravati,20.9309402,77.7558249,,
Galaxy Hospital and Apex Critical Care,hospital,"Kolhatkar Mangal Karyalay Road,Rajapeth, Amravati",20.9223041,77.756535,,
Dr.Mashankar Hospital,hospital,"Near Gopal Talkies , Rajapeth, Vivekanand Colony",20.9220728,77.75627,,
Hi Tech Multispeciality Hospital & Research Centre,hospital,"48 - 3/4, Dastur Nagar Road, Nanda Market, Rajapeth, sabnis plot, Amravati",20.9197267,77.7586418,0721-2676416,
Heart beats cafe,hospital,Amravati,20.9208145,77.7563548,,
Belokar Hospital,hospital,"Vijay Colony, Near Rukhmini Nagar",20.9694715,77.752362,,
Dr. Dinesh Khedkar,hospital,Amravati,20.9692035,77.753215,,
Urban Health Post Sanjivani,hospital,"Shyam Nagar, Amravati, Maharashtra 444606",20.9253023,77.7713368,,
"Dhole Hospital, Dr Monali Dhole Gyancologist,Laparoscopic Surgeon ,",hospital,Amravati,20.9243809,77.7633757,,
Super Speciality Hospital Amravati,hospital,"dafrin camps K.L. College Morshi road, Habib Nagar Amravati, Dafrin Campas",20.9387721,77.7611707,,
Takhatmal Shrivallabh Homoeopathic Medical College And Hospital,hospital,Amravati,20.919722,77.7576872,,
Kiran Agrawal Children Hospital,hospital,"Shilangan Road, Pannalal Nagar",20.9231878,77.7484823,,
Dr. Chandak's Hospital,hospital,Amravati,20.9225833,77.7537602,,
"Kulkarni Hospital, Amravati",hospital,"Near Deeparchan , Balaji Plot",20.921744,77.7534048,,
Deshpande Aayurved Aushadhalay,hospital,Amravati,20.894639,77.7436036,,
Labhlaxmi Medicals,hospital,Amravati,20.8958217,77.7443101,,
Bakhtar Hospital,hospital,Amravati,20.9204226,77.7579737,,
Samyukta Surgical and Maternity Hospital,hospital,Camp Road,20.9381472,77.7795902,,
"Baheti Hospital, Amravati",hospital,"Ambapeth, Near Rajkamal Square",20.9272302,77.7547543,,
